Date,AAP,ACI,ADSK,AER,AFRM,AMCR,ANET,AON,APP,APTV,ARCC,ATO,AU,AVGO,BAH,BANC,BIP,BMRN,BUD,CHWY,CINF,CMS,CNC,COF,CRNX,CSGP,CTAS,CVNA,CVS,DKNG,DPZ,DTE,DUK,EBAY,EHC,EVRG,EXE,FANG,FIX,FMX,FSLR,GLPI,GMED,HCA,HCC,HD,HTHT,HUN,IBRX,ICE,KDP,KMI,LINE,LLY,LPLA,MA,MAA,MANH,MCK,MELI,META,MKL,MSFT,MSTR,MT,NET,NOK,ODD,OMC,PBR,PNW,PODD,PPG,PSA,QCOM,RDDT,RGA,RTX,SBS,SFM,SN,SPOT,SRRK,STLD,STZ,SYF,T,TKO,TPR,TRV,TSM,TW,UL,VEEV,VICI,VTR,WEC,YMM,YPF
2022-01-03,218.6127471923828,20.492355346679688,283.7200012207031,67.15715026855469,95.20999908447266,10.207474708557129,35.560001373291016,286.4574890136719,94.37999725341797,166.02999877929688,15.347495079040527,96.66216278076172,18.646373748779297,61.81290817260742,83.49017333984375,18.474166870117188,35.91687774658203,89.36000061035156,61.02676010131836,57.47999954223633,103.89930725097656,58.413211822509766,82.6500015258789,139.29808044433594,28.309999465942383,78.83999633789062,104.86866760253906,239.6300048828125,93.52410888671875,27.770000457763672,529.7908935546875,106.9461441040039,90.80305480957031,62.55908203125,51.418251037597656,59.45857620239258,55.402652740478516,94.40355682373047,96.61703491210938,72.17501831054688,88.58000183105469,39.69878387451172,73.94000244140625,246.72509765625,23.25593376159668,376.1605529785156,34.28304672241211,31.244911193847656,7.53000020980835,128.09628295898438,33.702980041503906,13.466526985168457,,263.27294921875,160.19686889648438,363.33197021484375,201.25523376464844,152.6300048828125,243.78128051757812,1332.93994140625,336.95196533203125,1223.489990234375,325.634765625,55.82600021362305,30.490463256835938,126.16000366210938,5.733656406402588,,66.22552490234375,4.796199798583984,60.164512634277344,275.70001220703125,160.03564453125,312.3898620605469,173.156982421875,,104.99920654296875,80.49851989746094,6.619139671325684,29.770000457763672,,244.16000366210938,24.68000030517578,58.58339309692383,240.58108520507812,43.3840446472168,15.575297355651855,47.4127311706543,36.934513092041016,145.80789184570312,121.47502899169922,95.17048645019531,48.17903137207031,256.30999755859375,25.26523208618164,46.1727409362793,85.85140991210938,8.140427589416504,4.039999961853027
2022-01-04,218.86199951171875,20.708871841430664,278.19000244140625,67.45475769042969,85.41000366210938,10.37072467803955,34.665000915527344,287.4636535644531,88.61000061035156,172.2100067138672,15.508201599121094,97.81278228759766,18.311906814575195,62.521141052246094,85.4591064453125,18.44647216796875,35.81105422973633,87.22000122070312,60.84373092651367,54.400001525878906,106.31515502929688,58.31391525268555,81.08000183105469,141.93675231933594,28.190000534057617,77.37999725341797,105.12088775634766,220.94000244140625,93.64083862304688,26.6299991607666,512.6109008789062,107.1256103515625,90.73287200927734,61.00446319580078,52.117977142333984,59.30155944824219,55.59413528442383,100.61609649658203,97.75938415527344,73.37716674804688,87.27999877929688,40.0916748046875,75.54000091552734,252.7358856201172,23.356210708618164,380.02667236328125,33.98979187011719,31.836261749267578,7.010000228881836,128.21102905273438,34.207923889160156,13.655963897705078,,258.5061340332031,166.36660766601562,367.68084716796875,202.37661743164062,147.94000244140625,243.68299865722656,1241.3800048828125,334.9513854980469,1236.9300537109375,320.0510559082031,55.106998443603516,31.297340393066406,114.95999908447266,5.697194576263428,,67.68645477294922,4.8521199226379395,60.043819427490234,273.54998779296875,160.64537048339844,312.1761169433594,174.1055145263672,,106.74498748779297,83.3215560913086,6.4134602546691895,29.940000534057617,,239.25999450683594,24.219999313354492,60.35059356689453,242.27490234375,44.45479202270508,15.703916549682617,48.04033279418945,37.69474411010742,148.85040283203125,125.8133773803711,92.81269073486328,47.94731903076172,255.02000427246094,25.433944702148438,47.37307357788086,85.63697052001953,7.650040149688721,4.159999847412109
2022-01-05,218.30801391601562,20.91840362548828,264.32000732421875,65.06407165527344,79.52999877929688,10.387909889221191,33.287498474121094,286.2230529785156,82.02999877929688,168.27999877929688,15.281750679016113,98.12574005126953,18.088932037353516,59.91935348510742,83.97294616699219,18.575727462768555,35.01734161376953,84.33000183105469,60.34280014038086,52.0099983215332,104.81787872314453,59.036067962646484,79.79000091552734,139.22293090820312,27.34000015258789,74.75,100.39043426513672,198.0,95.00563049316406,24.649999618530273,498.4856262207031,107.00894165039062,90.93467712402344,60.39572525024414,51.09529495239258,58.89155578613281,54.270469665527344,99.69602966308594,94.13539123535156,73.3585433959961,83.51000213623047,38.880252838134766,73.0,251.47354125976562,22.945972442626953,374.8718566894531,32.715980529785156,31.500873565673828,6.409999847412109,126.60446166992188,34.1691780090332,13.730093002319336,,252.53781127929688,166.39614868164062,366.22137451171875,198.66531372070312,141.49000549316406,243.00503540039062,1129.68994140625,322.64935302734375,1233.0699462890625,307.7649841308594,50.90999984741211,31.35430145263672,105.94999694824219,5.596923828125,,67.9105224609375,4.615535736083984,60.21622848510742,255.4499969482422,162.38082885742188,309.3880920410156,173.4266815185547,,104.3270263671875,82.90504455566406,6.095592498779297,29.079999923706055,,227.6999969482422,22.739999771118164,62.668846130371094,241.09495544433594,43.30096435546875,16.053030014038086,46.28113555908203,37.35987854003906,149.57122802734375,119.83395385742188,90.2082290649414,47.85820388793945,241.57000732421875,24.4891357421875,46.98185348510742,86.62870788574219,7.228306770324707,3.990000009536743
2022-01-06,223.1090545654297,21.798446655273438,264.1099853515625,66.2445297241211,81.0999984741211,10.301986694335938,33.16749954223633,283.7808532714844,82.1500015258789,174.1199951171875,15.29636001586914,97.36174011230469,17.587236404418945,59.36302185058594,82.35425567626953,19.628225326538086,34.48231506347656,85.19000244140625,59.851505279541016,52.88999938964844,106.75606536865234,58.36808776855469,76.33999633789062,141.5423583984375,26.829999923706055,73.6500015258789,99.6535415649414,191.3800048828125,92.11441802978516,25.799999237060547,502.2011413574219,107.29610443115234,90.78550720214844,62.56844711303711,49.519004821777344,58.66474533081055,55.56083297729492,104.372314453125,96.36101531982422,73.41443634033203,83.97000122070312,38.46280288696289,72.95999908447266,247.14263916015625,23.265047073364258,373.5094299316406,33.375797271728516,31.500873565673828,6.239999771118164,127.3408432006836,34.53826904296875,14.018365859985352,,251.25888061523438,171.22763061523438,362.8770751953125,196.60055541992188,140.89999389648438,240.35203552246094,1156.780029296875,330.9004821777344,1240.6700439453125,305.33306884765625,49.86199951171875,31.79096031188965,104.04000091552734,5.57869291305542,,69.71202850341797,4.658551216125488,60.44899368286133,260.42999267578125,160.0543975830078,312.44122314453125,172.9152374267578,,105.59669494628906,83.35857391357422,5.983403205871582,29.350000381469727,,228.27000427246094,23.350000381469727,60.85414123535156,232.93980407714844,43.90095520019531,15.991783142089844,46.61396026611328,37.513736724853516,151.9678192138672,121.16378021240234,89.68538665771484,47.385841369628906,241.6699981689453,24.455394744873047,47.37307357788086,86.08368682861328,7.914848804473877,3.950000047683716
2022-01-07,219.8221893310547,21.798446655273438,262.32000732421875,67.17699432373047,79.62000274658203,10.413687705993652,32.369998931884766,276.23944091796875,80.44999694824219,169.47000122070312,15.500895500183105,96.9198989868164,17.745180130004883,57.69683837890625,82.74237823486328,19.582061767578125,34.6234245300293,84.25,60.622169494628906,48.52000045776367,108.97900390625,58.74721145629883,76.33999633789062,145.26100158691406,25.329999923706055,71.87999725341797,98.27373504638672,184.7100067138672,93.55104064941406,27.239999771118164,486.89794921875,107.40380859375,91.68925476074219,62.10954666137695,49.54975128173828,58.92645263671875,57.69203186035156,102.57439422607422,94.4111328125,74.1785888671875,84.68000030517578,38.15994644165039,71.58999633789062,244.9092559814453,23.647933959960938,362.3251647949219,33.69654083251953,31.571489334106445,6.260000228881836,127.42688751220703,34.418312072753906,14.22427749633789,,251.42364501953125,174.57325744628906,362.5338134765625,192.61334228515625,139.4199981689453,245.412353515625,1085.3599853515625,330.23358154296875,1254.75,305.48870849609375,48.29499816894531,33.04399490356445,107.0,5.560461521148682,,70.25875091552734,4.735979080200195,61.03520584106445,250.0800018310547,157.3245849609375,304.3766174316406,167.7635955810547,,108.22003936767578,83.71031188964844,5.927309513092041,30.209999084472656,,223.5800018310547,21.40999984741211,59.20096206665039,234.26251220703125,44.50094985961914,16.538110733032227,47.564876556396484,35.6041145324707,155.6282501220703,116.47643280029297,90.2674331665039,47.94731903076172,231.47000122070312,24.084217071533203,47.67538070678711,86.85208129882812,8.140427589416504,4.03000020980835
2022-01-10,216.1660614013672,22.280370712280273,262.3900146484375,66.80996704101562,78.23999786376953,10.439462661743164,32.8849983215332,275.47747802734375,82.94000244140625,165.07000732421875,15.420544624328613,96.791015625,17.763761520385742,57.8841438293457,81.89988708496094,19.46204376220703,34.92914962768555,84.38999938964844,62.230918884277344,49.90999984741211,108.62076568603516,58.47640609741211,77.83999633789062,147.57102966308594,24.8799991607666,71.51000213623047,98.72130584716797,183.44000244140625,94.33220672607422,26.1299991607666,481.3626708984375,107.81658172607422,91.74189758300781,60.47065734863281,50.1264533996582,58.289642333984375,58.4412727355957,102.43091583251953,94.48990631103516,74.7284164428711,84.30000305175781,37.922576904296875,72.12999725341797,242.24855041503906,24.158449172973633,356.6639404296875,31.717090606689453,31.306690216064453,6.139999866485596,125.75335693359375,34.42753982543945,14.356059074401855,,252.01458740234375,176.69871520996094,356.90423583984375,191.08253479003906,140.8800048828125,246.35568237304688,1053.31005859375,326.53106689453125,1256.030029296875,305.71240234375,48.19499969482422,32.55986785888672,110.75,5.624270439147949,,69.69409942626953,4.658551216125488,60.905887603759766,240.6999969482422,155.8987274169922,307.7204895019531,167.08474731445312,,107.43583679199219,83.0531234741211,5.768374443054199,30.829999923706055,,224.41000366210938,21.889999389648438,57.56678009033203,235.11895751953125,44.58402633666992,16.64505386352539,48.64892578125,33.93885040283203,153.58738708496094,117.90055084228516,90.66204833984375,48.33053970336914,239.86000061035156,24.219188690185547,47.230804443359375,86.57508850097656,8.35619831085205,3.9100000858306885
2022-01-11,214.20867919921875,20.108211517333984,270.6300048828125,66.63140869140625,81.02999877929688,10.405091285705566,33.29499816894531,281.0456237792969,84.0,159.6999969482422,15.924576759338379,96.32157135009766,18.93438148498535,57.967079162597656,81.77684020996094,19.397415161132812,35.24075698852539,88.98999786376953,62.4235954284668,50.93000030517578,109.75060272216797,57.65495300292969,80.0199966430664,148.8480987548828,25.510000228881836,75.29000091552734,100.1728286743164,186.1999969482422,95.21215057373047,26.940000534057617,465.8200988769531,106.58719635009766,90.57493591308594,62.212562561035156,49.44210433959961,57.88837432861328,58.183204650878906,104.97161102294922,95.52392578125,75.39937591552734,84.44999694824219,37.865272521972656,73.01000213623047,243.0836181640625,24.98804473876953,355.936767578125,32.78929138183594,31.686229705810547,6.480000019073486,126.18367767333984,34.90737533569336,14.504315376281738,,254.15586853027344,176.3936767578125,359.23846435546875,190.08580017089844,143.88999938964844,250.3941192626953,1166.0699462890625,332.8014831542969,1255.0,306.4031677246094,50.65599822998047,33.59457015991211,114.13999938964844,5.688078880310059,,69.47898864746094,4.981164932250977,60.59554672241211,245.6699981689453,158.35646057128906,310.311767578125,172.40374755859375,,107.5011978149414,83.96946716308594,5.871214866638184,28.739999771118164,,234.97000122070312,22.06999969482422,57.92782974243164,240.45738220214844,45.00864028930664,16.569564819335938,49.01027297973633,34.5814208984375,152.74484252929688,121.82396697998047,92.71404266357422,48.08100509643555,240.0399932861328,24.430089950561523,46.35945129394531,85.16344451904297,8.983892440795898,4.090000152587891
2022-01-12,219.30516052246094,20.694900512695312,269.6000061035156,65.94694519042969,78.79000091552734,10.43087100982666,33.26250076293945,281.0456237792969,84.33000183105469,159.7899932861328,16.107196807861328,95.91654205322266,19.34317398071289,57.9624137878418,81.15208435058594,19.360485076904297,35.04673767089844,88.0999984741211,61.999725341796875,48.58000183105469,109.19944763183594,57.88063430786133,80.31999969482422,149.1110382080078,24.649999618530273,74.80999755859375,100.44731140136719,177.52999877929688,94.97869110107422,26.100000381469727,466.27020263671875,106.97306060791016,90.91712951660156,60.23651885986328,48.88848114013672,58.158790588378906,60.863834381103516,105.14888763427734,96.24282836914062,76.3965072631836,84.12000274658203,37.39052200317383,71.94000244140625,242.08346557617188,25.598838806152344,358.4497375488281,33.98979187011719,33.11606979370117,6.320000171661377,127.64681243896484,35.07345962524414,14.537261009216309,,247.9550323486328,176.1575164794922,360.2388000488281,192.8892364501953,145.4499969482422,250.19761657714844,1210.9100341796875,331.6967468261719,1263.3800048828125,309.6035461425781,51.4640007019043,35.350711822509766,113.97000122070312,5.551346778869629,,69.01294708251953,5.170433044433594,60.474853515625,242.77999877929688,158.01873779296875,314.2286071777344,173.35226440429688,,106.68897247314453,84.29341888427734,5.9927520751953125,28.84000015258789,,231.30999755859375,21.579999923706055,60.42658996582031,236.10862731933594,45.25786209106445,16.63875961303711,48.61088562011719,34.889137268066406,152.56700134277344,124.70993041992188,92.7929458618164,47.76907730102539,239.6999969482422,24.30354881286621,46.083824157714844,85.50296020507812,9.366394996643066,4.150000095367432
2022-01-13,222.8043975830078,21.637800216674805,260.1700134277344,66.76036071777344,72.12999725341797,10.551159858703613,32.79999923706055,273.9437561035156,79.55000305175781,158.57000732421875,15.508201599121094,97.56424713134766,18.841480255126953,55.65044403076172,81.66323852539062,19.757478713989258,34.87035369873047,88.16000366210938,63.907108306884766,46.09000015258789,111.13763427734375,58.10630416870117,79.87999725341797,151.5338134765625,24.049999237060547,74.0199966430664,100.08380889892578,163.0,94.5836181640625,24.239999771118164,461.0127258300781,107.52942657470703,91.38215637207031,59.26254653930664,49.788116455078125,58.2198486328125,58.35802459716797,104.73528289794922,96.42007446289062,76.65742492675781,82.77999877929688,36.711143493652344,73.0199966430664,247.04554748535156,24.98804473876953,356.2221374511719,31.313861846923828,33.62799835205078,6.239999771118164,123.89812469482422,35.479469299316406,14.471369743347168,,241.8995819091797,172.93980407714844,362.4062805175781,195.8124542236328,138.5500030517578,250.31553649902344,1131.010009765625,324.94854736328125,1269.6800537109375,296.5002746582031,48.95899963378906,35.3886833190918,98.9800033569336,5.369035720825195,,70.7068862915039,5.290875434875488,61.60417556762695,242.3699951171875,158.36585998535156,311.62017822265625,170.99964904785156,,109.95648956298828,84.74695587158203,5.983403205871582,29.450000762939453,,226.4499969482422,19.8799991607666,59.68551254272461,235.07138061523438,45.65478515625,16.858936309814453,49.80904006958008,35.504554748535156,152.64190673828125,131.27413940429688,90.41542053222656,47.84037780761719,227.14999389648438,23.957679748535156,47.04409408569336,86.91460418701172,8.846585273742676,4.199999809265137
2022-01-14,221.21633911132812,21.609867095947266,259.1000061035156,67.8118667602539,69.19000244140625,10.62848949432373,32.435001373291016,267.1252136230469,79.01000213623047,152.60000610351562,15.661605834960938,97.6194839477539,18.61850357055664,55.574031829833984,84.20013427734375,20.182178497314453,35.023216247558594,90.22000122070312,65.3135757446289,44.86000061035156,109.80571746826172,57.54662322998047,80.55000305175781,150.77317810058594,24.010000228881836,74.52999877929688,98.28115844726562,156.38999938964844,95.37377166748047,23.190000534057617,453.0067443847656,107.1256103515625,91.28563690185547,59.421749114990234,50.64162826538086,57.43475341796875,59.5401725769043,109.06549072265625,95.46483612060547,77.18860626220703,83.0199966430664,36.53925704956055,73.44999694824219,249.560546875,25.1612606048584,342.4327087402344,31.396343231201172,33.769222259521484,6.670000076293945,121.06748962402344,36.2453498840332,14.734932899475098,,236.52227783203125,172.9693145751953,364.9757995605469,192.41339111328125,136.2100067138672,252.0546875,1122.739990234375,330.3431091308594,1276.6099853515625,301.7532958984375,49.95600128173828,35.331729888916016,100.29000091552734,5.405498504638672,,71.3432388305664,5.424222469329834,62.302459716796875,242.7100067138672,154.78240966796875,309.4052429199219,175.46316528320312,,110.98342895507812,85.45965576171875,5.964705467224121,29.239999771118164,,218.55999755859375,20.229999542236328,59.10594177246094,236.6034393310547,44.92556381225586,17.097980499267578,50.560264587402344,34.72622299194336,152.7916717529297,132.6605224609375,90.47460174560547,48.384010314941406,223.85000610351562,24.07578468322754,47.06187438964844,85.9943618774414,8.68966007232666,4.360000133514404
