Date,SPY
1994-01-03,26.357
1994-01-04,26.4634
1994-01-05,26.5166
1994-01-06,26.5166
1994-01-07,26.6761
1994-01-10,26.9951
1994-01-11,26.942
1994-01-12,26.8533
1994-01-13,26.7824
1994-01-14,26.8888
1994-01-17,26.8888
1994-01-18,26.9242
1994-01-19,26.8533
1994-01-20,26.9242
1994-01-21,26.8711
1994-01-24,26.7647
1994-01-25,26.7647
1994-01-26,26.8356
1994-01-27,27.0838
1994-01-28,27.1547
1994-01-31,27.3496
1994-02-01,27.2078
1994-02-02,27.3851
1994-02-03,27.261
1994-02-04,26.6406
1994-02-07,26.7647
1994-02-08,26.7824
1994-02-09,26.8888
1994-02-10,26.6584
1994-02-11,26.747
1994-02-14,26.7824
1994-02-15,26.9242
1994-02-16,26.9065
1994-02-17,26.747
1994-02-18,26.5875
1994-02-22,26.8533
1994-02-23,26.7824
1994-02-24,26.4279
1994-02-25,26.552
1994-02-28,26.552
1994-03-01,26.4457
1994-03-02,26.4811
1994-03-03,26.4102
1994-03-04,26.4811
1994-03-07,26.6229
1994-03-08,26.5166
1994-03-09,26.6406
1994-03-10,26.4279
1994-03-11,26.5697
1994-03-14,26.6052
1994-03-15,26.5875
1994-03-16,26.8002
1994-03-17,26.8002
1994-03-18,26.7943
1994-03-21,26.723
1994-03-22,26.7943
1994-03-23,26.7765
1994-03-24,26.4556
1994-03-25,26.206
1994-03-28,26.2417
1994-03-29,25.7247
1994-03-30,25.3681
1994-03-31,25.4395
1994-04-04,25.0473
1994-04-05,25.5642
1994-04-06,25.5642
1994-04-07,25.689
1994-04-08,25.4929
1994-04-11,25.5999
1994-04-12,25.5642
1994-04-13,25.4305
1994-04-14,25.4395
1994-04-15,25.4395
1994-04-18,25.2701
1994-04-19,25.3058
1994-04-20,25.279
1994-04-21,25.6177
1994-04-22,25.591
1994-04-25,25.8584
1994-04-26,25.8317
1994-04-28,25.6445
1994-04-29,25.7247
1994-05-02,25.8851
1994-05-03,25.8584
1994-05-04,25.8138
1994-05-05,25.7782
1994-05-06,25.5286
1994-05-09,25.3058
1994-05-10,25.5018
1994-05-11,25.2701
1994-05-12,25.3949
1994-05-13,25.3949
1994-05-16,25.4038
1994-05-17,25.7782
1994-05-18,25.9654
1994-05-19,26.0901
1994-05-20,25.9921
1994-05-23,25.9475
1994-05-24,26.0545
1994-05-25,26.1258
1994-05-26,26.1436
1994-05-27,26.1704
1994-05-31,26.1347
1994-06-01,26.2506
1994-06-02,26.2239
1994-06-03,26.3754
1994-06-06,26.3665
1994-06-07,26.3308
1994-06-08,26.1169
1994-06-09,26.2595
1994-06-10,26.3041
1994-06-13,26.3397
1994-06-14,26.5447
1994-06-15,26.4378
1994-06-16,26.4913
1994-06-17,26.3434
1994-06-20,26.1191
1994-06-21,25.8948
1994-06-22,25.9935
1994-06-23,25.8409
1994-06-24,25.3026
1994-06-27,25.7422
1994-06-28,25.6166
1994-06-29,25.6974
1994-06-30,25.5359
1994-07-01,25.5897
1994-07-05,25.7243
1994-07-06,25.6884
1994-07-07,25.7961
1994-07-08,25.7871
1994-07-11,25.6974
1994-07-12,25.7333
1994-07-13,25.7781
1994-07-14,26.0563
1994-07-15,26.0652
1994-07-18,26.1101
1994-07-19,26.0563
1994-07-20,25.9396
1994-07-21,25.9935
1994-07-22,26.0383
1994-07-25,26.0742
1994-07-26,26.0473
1994-07-27,26.0473
1994-07-28,26.1011
1994-07-29,26.3613
1994-08-01,26.487
1994-08-02,26.5228
1994-08-03,26.5318
1994-08-04,26.3793
1994-08-05,26.2896
1994-08-08,26.3524
1994-08-09,26.3972
1994-08-10,26.4959
1994-08-11,26.3972
1994-08-12,26.6036
1994-08-15,26.5946
1994-08-16,26.783
1994-08-17,26.7651
1994-08-18,26.6754
1994-08-19,26.6574
1994-08-22,26.6305
1994-08-23,26.783
1994-08-24,27.0702
1994-08-25,26.9984
1994-08-26,27.3842
1994-08-29,27.3663
1994-08-30,27.438
1994-08-31,27.3663
1994-09-01,27.2765
1994-09-02,27.1599
1994-09-06,27.1689
1994-09-07,27.1419
1994-09-08,27.2765
1994-09-09,26.9894
1994-09-12,26.9087
1994-09-13,26.9894
1994-09-14,27.0163
1994-09-15,27.3573
1994-09-16,27.1626
1994-09-19,27.1897
1994-09-20,26.6751
1994-09-21,26.6751
1994-09-22,26.6119
1994-09-23,26.5217
1994-09-26,26.6571
1994-09-27,26.639
1994-09-28,26.8466
1994-09-29,26.7112
1994-09-30,26.6751
1994-10-03,26.6119
1994-10-04,26.2147
1994-10-05,26.2238
1994-10-06,26.1425
1994-10-07,26.2599
1994-10-10,26.5397
1994-10-11,26.9369
1994-10-12,26.973
1994-10-13,27.0633
1994-10-14,27.1806
1994-10-17,27.1265
1994-10-18,27.0633
1994-10-19,27.1897
1994-10-20,27.0091
1994-10-21,26.9008
1994-10-24,26.6751
1994-10-25,26.7022
1994-10-26,26.8015
1994-10-27,26.964
1994-10-28,27.5327
1994-10-31,27.4334
1994-11-01,27.1265
1994-11-02,26.973
1994-11-03,27.1175
1994-11-04,26.7654
1994-11-07,26.8466
1994-11-08,27.0543
1994-11-09,27.0994
1994-11-10,26.9098
1994-11-11,26.8105
1994-11-14,27.0633
1994-11-15,26.973
1994-11-16,27.0633
1994-11-17,26.8828
1994-11-18,26.8466
1994-11-21,26.5758
1994-11-22,25.9981
1994-11-23,26.1425
1994-11-25,26.2689
1994-11-28,26.3863
1994-11-29,26.3772
1994-11-30,26.3411
1994-12-01,26.0793
1994-12-02,26.3231
1994-12-05,26.3502
1994-12-06,26.3682
1994-12-07,26.1786
1994-12-08,25.9259
1994-12-09,26.0252
1994-12-12,26.1967
1994-12-13,26.296
1994-12-14,26.4314
1994-12-15,26.5126
1994-12-16,26.6421
1994-12-19,26.6785
1994-12-20,26.5966
1994-12-21,26.8787
1994-12-22,26.7968
1994-12-23,26.8241
1994-12-27,26.9697
1994-12-28,26.8332
1994-12-29,26.8514
1994-12-30,26.5329
1995-01-03,26.6603
1995-01-04,26.7877
1995-01-05,26.7877
1995-01-06,26.815
1995-01-09,26.8423
1995-01-10,26.8696
1995-01-11,26.8878
1995-01-12,26.8969
1995-01-13,27.2154
1995-01-16,27.3792
1995-01-17,27.3883
1995-01-18,27.361
1995-01-19,27.2063
1995-01-20,27.1062
1995-01-23,27.1881
1995-01-24,27.2245
1995-01-25,27.2973
1995-01-26,27.3246
1995-01-27,27.4338
1995-01-30,27.3155
1995-01-31,27.4247
1995-02-01,27.4156
1995-02-02,27.5793
1995-02-03,27.9706
1995-02-06,28.0889
1995-02-07,28.1253
1995-02-08,28.1253
1995-02-09,28.1253
1995-02-10,28.1617
1995-02-13,28.1708
1995-02-14,28.2072
1995-02-15,28.3619
1995-02-16,28.3255
1995-02-17,28.2163
1995-02-21,28.2072
1995-02-22,28.4165
1995-02-23,28.462
1995-02-24,28.5347
1995-02-27,28.3073
1995-02-28,28.5438
1995-03-01,28.3619
1995-03-02,28.3983
1995-03-03,28.4074
1995-03-06,28.4256
1995-03-07,28.2072
1995-03-08,28.28
1995-03-09,28.2709
1995-03-10,28.6894
1995-03-13,28.819
1995-03-14,29.0295
1995-03-15,28.9746
1995-03-16,29.1484
1995-03-17,29.0203
1995-03-20,29.0203
1995-03-21,28.9471
1995-03-22,28.9746
1995-03-23,28.9929
1995-03-24,29.4046
1995-03-27,29.5235
1995-03-28,29.5235
1995-03-29,29.5144
1995-03-30,29.4595
1995-03-31,29.3405
1995-04-03,29.4137
1995-04-04,29.6058
1995-04-05,29.6058
1995-04-06,29.7156
1995-04-07,29.6882
1995-04-10,29.7431
1995-04-11,29.6424
1995-04-12,29.7431
1995-04-13,29.9078
1995-04-17,29.7339
1995-04-18,29.6333
1995-04-19,29.6058
1995-04-20,29.6516
1995-04-21,29.798
1995-04-24,30.1456
1995-04-25,30.0633
1995-04-26,30.0907
1995-04-27,30.1639
1995-04-28,30.2097
1995-05-01,30.1273
1995-05-02,30.1914
1995-05-03,30.6122
1995-05-04,30.5939
1995-05-05,30.5573
1995-05-08,30.7769
1995-05-09,30.7495
1995-05-10,30.786
1995-05-11,30.8684
1995-05-12,30.8867
1995-05-15,31.0331
1995-05-16,31.0514
1995-05-17,30.9324
1995-05-18,30.4841
1995-05-19,30.5024
1995-05-22,30.8409
1995-05-23,31.1246
1995-05-24,31.1063
1995-05-25,31.1337
1995-05-26,30.7769
1995-05-30,30.7678
1995-05-31,31.4082
1995-06-01,31.3258
1995-06-02,31.3533
1995-06-05,31.5454
1995-06-06,31.4905
1995-06-07,31.3258
1995-06-08,31.2526
1995-06-09,31.0697
1995-06-12,31.2435
1995-06-13,31.582
1995-06-14,31.5546
1995-06-15,31.6918
1995-06-16,31.7859
1995-06-19,32.1448
1995-06-20,32.062
1995-06-21,32.0436
1995-06-22,32.4669
1995-06-23,32.4025
1995-06-26,32.0159
1995-06-27,31.9515
1995-06-28,32.1172
1995-06-29,32.062
1995-06-30,32.0436
1995-07-03,32.1632
1995-07-05,32.2828
1995-07-06,32.6969
1995-07-07,32.8442
1995-07-10,32.8626
1995-07-11,32.7061
1995-07-12,33.1111
1995-07-13,33.0374
1995-07-14,33.0098
1995-07-17,33.1939
1995-07-18,32.9086
1995-07-19,32.5497
1995-07-20,32.6693
1995-07-21,32.6325
1995-07-24,32.8718
1995-07-25,33.1203
1995-07-26,33.0927
1995-07-27,33.3687
1995-07-28,33.1571
1995-07-31,33.0742
1995-08-01,33.019
1995-08-02,32.9454
1995-08-03,32.9362
1995-08-04,32.973
1995-08-07,33.0466
1995-08-08,33.0466
1995-08-09,33.0374
1995-08-10,32.9638
1995-08-11,32.7798
1995-08-14,33.0742
1995-08-15,33.0098
1995-08-16,33.1019
1995-08-17,33.0466
1995-08-18,33.0835
1995-08-21,32.9914
1995-08-22,33.0558
1995-08-23,32.9362
1995-08-24,32.973
1995-08-25,33.1571
1995-08-28,33.0374
1995-08-29,33.1203
1995-08-30,33.1939
1995-08-31,33.2215
1995-09-01,33.3687
1995-09-05,33.6816
1995-09-06,33.746
1995-09-07,33.7644
1995-09-08,33.8933
1995-09-11,33.9853
1995-09-12,34.1418
1995-09-13,34.2982
1995-09-14,34.6111
1995-09-15,34.6015
1995-09-18,34.472
1995-09-19,34.6385
1995-09-20,34.8051
1995-09-21,34.5183
1995-09-22,34.5275
1995-09-25,34.472
1995-09-26,34.4628
1995-09-27,34.435
1995-09-28,34.6941
1995-09-29,34.6293
1995-10-02,34.4535
1995-10-03,34.4905
1995-10-04,34.4535
1995-10-05,34.5553
1995-10-06,34.583
1995-10-09,34.2962
1995-10-10,34.2777
1995-10-11,34.3887
1995-10-12,34.6015
1995-10-13,34.7126
1995-10-16,34.546
1995-10-17,34.7773
1995-10-18,34.8791
1995-10-19,35.0456
1995-10-20,34.8328
1995-10-23,34.7588
1995-10-24,34.7958
1995-10-25,34.509
1995-10-26,34.1945
1995-10-27,34.4535
1995-10-30,34.6756
1995-10-31,34.5275
1995-11-01,34.8051
1995-11-02,35.0271
1995-11-03,35.0734
1995-11-06,34.9531
1995-11-07,34.8236
1995-11-08,35.1381
1995-11-09,35.2677
1995-11-10,35.2492
1995-11-13,35.2122
1995-11-14,34.9809
1995-11-15,35.3324
1995-11-16,35.5267
1995-11-17,35.6377
1995-11-20,35.4527
1995-11-21,35.7395
1995-11-22,35.6285
1995-11-24,35.721
1995-11-27,35.7303
1995-11-28,36.1096
1995-11-29,36.1466
1995-11-30,36.0633
1995-12-01,36.1096
1995-12-04,36.5537
1995-12-05,36.7942
1995-12-06,36.8775
1995-12-07,36.6832
1995-12-08,36.8035
1995-12-11,36.9607
1995-12-12,36.8497
1995-12-13,37.081
1995-12-14,36.8127
1995-12-15,36.8262
1995-12-18,36.1187
1995-12-19,36.5004
1995-12-20,36.1466
1995-12-21,36.3328
1995-12-22,36.4631
1995-12-26,36.64
1995-12-27,36.6214
1995-12-28,36.5842
1995-12-29,36.6307
1996-01-02,37.0217
1996-01-03,37.1241
1996-01-04,36.7703
1996-01-05,36.6959
1996-01-08,36.8355
1996-01-09,36.2025
1996-01-10,35.7277
1996-01-11,35.9418
1996-01-12,35.886
1996-01-15,35.8115
1996-01-16,36.249
1996-01-17,36.1373
1996-01-18,36.2583
1996-01-19,36.5004
1996-01-22,36.5097
1996-01-23,36.5935
1996-01-24,36.8914
1996-01-25,36.761
1996-01-26,37.0775
1996-01-29,37.2265
1996-01-30,37.543
1996-01-31,37.934
1996-02-01,38.0736
1996-02-02,37.9153
1996-02-05,38.2225
1996-02-06,38.5856
1996-02-07,38.809
1996-02-08,39.2279
1996-02-09,39.2186
1996-02-12,39.5165
1996-02-13,39.4327
1996-02-14,39.0883
1996-02-15,38.8462
1996-02-16,38.688
1996-02-20,38.3063
1996-02-21,38.7811
1996-02-22,39.3955
1996-02-23,39.2837
1996-02-26,38.7252
1996-02-27,38.6042
1996-02-28,38.4273
1996-02-29,38.055
1996-03-01,38.66
1996-03-04,38.8835
1996-03-05,39.2465
1996-03-06,38.9021
1996-03-07,39.0976
1996-03-08,37.8316
1996-03-11,38.2691
1996-03-12,37.9712
1996-03-13,38.2318
1996-03-14,38.3994
1996-03-15,38.3736
1996-03-18,39.1123
1996-03-19,39.0281
1996-03-20,38.9814
1996-03-21,38.8879
1996-03-22,38.9907
1996-03-25,38.9159
1996-03-26,39.1029
1996-03-27,38.7476
1996-03-28,38.8972
1996-03-29,38.7102
1996-04-01,39.159
1996-04-02,39.2338
1996-04-03,39.2338
1996-04-04,39.2058
1996-04-08,38.5325
1996-04-09,38.3829
1996-04-10,37.7004
1996-04-11,37.6536
1996-04-12,38.1305
1996-04-15,38.4484
1996-04-16,38.5606
1996-04-17,38.4671
1996-04-18,38.5232
1996-04-19,38.6167
1996-04-22,38.9159
1996-04-23,39.0375
1996-04-24,38.8972
1996-04-25,39.0749
1996-04-26,39.159
1996-04-29,39.159
1996-04-30,39.131
1996-05-01,39.2151
1996-05-02,38.5419
1996-05-03,38.4858
1996-05-06,38.4484
1996-05-07,38.2894
1996-05-08,38.7663
1996-05-09,38.7383
1996-05-10,39.1216
1996-05-13,39.7107
1996-05-14,39.9538
1996-05-15,39.907
1996-05-16,39.9912
1996-05-17,40.2062
1996-05-20,40.4774
1996-05-21,40.4213
1996-05-22,40.8047
1996-05-23,40.6364
1996-05-24,40.7953
1996-05-28,40.3839
1996-05-29,40.1127
1996-05-30,40.3185
1996-05-31,40.0192
1996-06-03,40.1314
1996-06-04,40.412
1996-06-05,40.7673
1996-06-06,40.4681
1996-06-07,40.4681
1996-06-10,40.3372
1996-06-11,40.2998
1996-06-12,40.2249
1996-06-13,40.2249
1996-06-14,40.0566
1996-06-17,40.0286
1996-06-18,39.7013
1996-06-19,39.879
1996-06-20,39.8509
1996-06-21,40.1937
1996-06-24,40.2689
1996-06-25,40.2219
1996-06-26,39.9493
1996-06-27,40.2313
1996-06-28,40.3723
1996-07-01,40.7201
1996-07-02,40.5697
1996-07-03,40.4851
1996-07-05,39.4511
1996-07-08,39.2913
1996-07-09,39.4511
1996-07-10,39.6109
1996-07-11,38.8119
1996-07-12,38.8401
1996-07-15,37.6933
1996-07-16,37.7873
1996-07-17,38.2385
1996-07-18,38.7649
1996-07-19,38.4829
1996-07-22,38.2009
1996-07-23,37.7121
1996-07-24,37.7873
1996-07-25,38.1257
1996-07-26,38.3325
1996-07-29,37.9095
1996-07-30,38.2761
1996-07-31,38.5581
1996-08-01,39.1973
1996-08-02,40.0433
1996-08-05,39.8083
1996-08-06,39.9305
1996-08-07,40.0339
1996-08-08,39.9681
1996-08-09,39.8365
1996-08-12,40.1279
1996-08-13,39.8083
1996-08-14,39.9493
1996-08-15,39.8741
1996-08-16,40.2125
1996-08-19,40.2313
1996-08-20,40.2031
1996-08-21,40.0621
1996-08-22,40.4381
1996-08-23,40.2219
1996-08-26,40.0245
1996-08-27,40.1749
1996-08-28,40.1091
1996-08-29,39.7143
1996-08-30,39.3007
1996-09-03,39.5545
1996-09-04,39.5921
1996-09-05,39.1127
1996-09-06,39.6673
1996-09-09,40.1373
1996-09-10,40.1185
1996-09-11,40.3441
1996-09-12,40.6261
1996-09-13,41.2465
1996-09-16,41.3969
1996-09-17,41.3029
1996-09-18,41.1995
1996-09-19,41.3593
1996-09-20,41.506
1996-09-23,41.4965
1996-09-24,41.4871
1996-09-25,41.5154
1996-09-26,41.4965
1996-09-27,41.5343
1996-09-30,41.4965
1996-10-01,41.7233
1996-10-02,42.0067
1996-10-03,41.9689
1996-10-04,42.5358
1996-10-07,42.5831
1996-10-08,42.413
1996-10-09,42.0823
1996-10-10,41.9973
1996-10-11,42.5169
1996-10-14,42.5736
1996-10-15,42.5169
1996-10-16,42.7248
1996-10-17,42.8382
1996-10-18,43.0649
1996-10-21,43.0082
1996-10-22,42.7059
1996-10-23,42.8476
1996-10-24,42.4792
1996-10-25,42.5169
1996-10-28,42.2335
1996-10-29,42.5736
1996-10-30,42.4319
1996-10-31,42.8382
1996-11-01,42.687
1996-11-04,42.9705
1996-11-05,43.2161
1996-11-06,44.0476
1996-11-07,44.1515
1996-11-08,44.3971
1996-11-11,44.3499
1996-11-12,44.2176
1996-11-13,44.416
1996-11-14,44.7089
1996-11-15,44.7656
1996-11-18,44.7751
1996-11-19,45.0963
1996-11-20,45.1719
1996-11-21,45.1058
1996-11-22,45.4553
1996-11-25,46.0317
1996-11-26,45.8805
1996-11-27,45.7955
1996-11-29,45.9655
1996-12-02,45.9844
1996-12-03,45.2002
1996-12-04,45.3231
