,Yearly PnL (Portfolio Value Diff),Yearly PnL (Market-based),Yearly PnL (Summe Tages-PnL),Rebalancing Impact
2020-12-31,41253.2809477401,40749.39419479059,40749.3941947906,503.886752949511
2021-12-31,22653.62647143955,60368.92004699751,60368.92004699751,-37715.29357555796
2022-12-31,-41314.215592228415,-60389.97059103679,-60389.9705910368,19075.754998808377
2023-12-31,59880.558196907325,66939.74971511461,66939.74971511462,-7059.191518207284
2024-12-31,141438.9365461176,245634.39981524344,245634.39981524344,-104195.46326912584
2025-12-31,43957.07834158052,138941.14025816036,138941.14025816033,-94984.06191657984
