,AU,B,BAC,CDE,CLS,COHR,KGC,LITE,MU,NEM,RY,W,WDC
Weight,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923,0.076923
2025-10-01,71.695198059082,33.7099990844727,50.5849990844727,18.7900009155273,249.455001831055,114.65,25.4650001525879,171.149993896484,179.75,86.0599975585938,147.717498779297,87.4599990844727,128.080001831055
2025-10-02,72.4599990844727,33.9199981689453,50.4799995422363,18.7999992370605,250.910003662109,112.79,24.9500007629395,169.75,183.75,86.4300003051758,146.419998168945,86.3499984741211,131.259994506836
2025-10-03,73.3199996948242,33.9500007629395,50.6399993896484,18.7299995422363,233.669998168945,113.58,25.0300006866455,163.809997558594,187.830001831055,86.8600006103516,146.960006713867,88.5299987792969,131.309997558594
2025-10-06,74.6699981689453,34.0299987792969,50.3899993896484,19.3400001525879,235.339996337891,114.77,25.3500003814697,160.600006103516,190.960006713867,88.5100021362305,147.029998779297,84.1900024414062,125.279998779297
2025-10-07,74.5299987792969,33.2200012207031,50.2900009155273,18.8199996948242,237.789993286133,113.56,25.2600002288818,157.149993896484,185.690002441406,86.9499969482422,145.869995117188,83.120002746582,119.930000305176
2025-10-08,77.4899978637695,33.9000015258789,49.8400001525879,21.0100002288818,254.880004882812,116.67,25.3099994659424,163.089996337891,196.539993286133,88.4000015258789,145.039993286133,82.4499969482422,121.180000305176
2025-10-09,72.2600021362305,33.0400009155273,49.7900009155273,20.0499992370605,259.779998779297,122.35,24.2800006866455,159.759994506836,192.330001831055,85.2099990844727,145.259994506836,78.870002746582,119.699996948242
2025-10-10,71.9300003051758,32.7400016784668,48.6500015258789,19.5599994659424,243.720001220703,111.1,24.2600002288818,149.610000610352,181.600006103516,85.1399993896484,143.639999389648,74.2799987792969,115.419998168945
2025-10-13,74.5699996948242,33.4199981689453,48.8600006103516,21.1800003051758,261.059997558594,115.13,25.5100002288818,160.559997558594,192.770004272461,89.4000015258789,144.580001831055,76.2099990844727,118.860000610352
2025-10-14,73.4499969482422,33.2999992370605,50.0900001525879,20.9899997711182,247.75,109.37,25.4400005340576,156.779998779297,187.059997558594,90.5400009155273,145.440002441406,79.1999969482422,113.129997253418
2025-10-15,75.2200012207031,34.6800003051758,52.2799987792969,22.2800006866455,269.959991455078,110.41,26.8999996185303,156.570007324219,191.940002441406,93.5800018310547,146.779998779297,81.3099975585938,120.440002441406
2025-10-16,78.5500030517578,35.6500015258789,50.439998626709,23.1000003814697,279.859985351562,115.96,27.5799999237061,163.229995727539,202.529998779297,98.2699966430664,145.309997558594,83.1800003051758,125.919998168945
2025-10-17,73.8600006103516,33.3300018310547,51.2799987792969,21.0499992370605,276.459991455078,116.35,25.1000003814697,164.770004272461,202.380004882812,90.7699966430664,145.789993286133,82.3099975585938,126.199996948242
2025-10-20,75.2900009155273,34.7299995422363,52.0400009155273,22.0300006866455,273.5,120.2,25.9300003051758,161.0,206.770004272461,94.8899993896484,146.940002441406,83.129997253418,121.529998779297
2025-10-21,66.7799987792969,31.5,51.5200004577637,18.4799995422363,264.690002441406,120.79,23.0699996948242,162.949996948242,202.289993286133,86.3199996948242,146.600006103516,80.9100036621094,121.410003662109
2025-10-22,66.6699981689453,31.5300006866455,51.0999984741211,18.9799995422363,270.890014648438,115.37,23.5599994659424,158.059997558594,198.470001220703,87.0100021362305,146.800003051758,81.5299987792969,120.470001220703
2025-10-23,68.6100006103516,31.9400005340576,51.7599983215332,18.9799995422363,282.730010986328,121.52,23.9200000762939,168.5,206.710006713867,88.9100036621094,147.470001220703,83.120002746582,125.720001220703
2025-10-24,68.5699996948242,32.4799995422363,52.5699996948242,18.6499996185303,296.619995117188,129.34,23.9400005340576,179.300003051758,219.020004272461,83.370002746582,147.779998779297,83.0899963378906,129.429992675781
2025-10-27,64.9899978637695,31.8400001525879,53.0200004577637,17.6800003051758,301.820007324219,134.99,22.7800006866455,193.800003051758,220.100006103516,78.629997253418,148.229995727539,86.4499969482422,126.669998168945
2025-10-28,65.9499969482422,31.8400001525879,52.8699989318848,18.2800006866455,326.450012207031,134.24,23.0699996948242,198.389999389648,221.910003662109,79.3399963378906,149.050003051758,106.519996643066,124.919998168945
2025-10-29,67.2900009155273,32.060001373291,52.5800018310547,18.25,337.769989013672,138.06,23.1100006103516,214.279998779297,226.630004882812,79.6699981689453,146.690002441406,103.620002746582,141.380004882812
2025-10-30,68.3600006103516,32.8450012207031,53.185001373291,18.0249996185303,343.0,132.71,23.6000003814697,202.354995727539,226.470001220703,82.6429977416992,145.899993896484,104.629997253418,139.5
